"Date
Policy created/ cancelled date","Total Free
insurance Created","Trips that are charged
(Created)","Trips that are not charged
(Created)","System cancellation
(at HLA, will it contra off?)","Manually cancelled policies
(issue credit note)","Total Policies
Created"
22/03/2023,0,4,0,0,0,4
21/03/2023,0,6,0,0,0,6
20/03/2023,0,2,0,0,0,2
18/03/2023,0,1,0,0,0,1
17/03/2023,0,6,0,0,0,6
16/03/2023,0,3,0,0,0,3
15/03/2023,0,17,0,0,0,17
14/03/2023,0,10,0,0,0,10
13/03/2023,0,3,0,0,0,3
12/3/2023,1,4,3,0,0,5
11/3/2023,0,4,0,0,0,4
9/3/2023,0,7,1,0,0,7
8/3/2023,1,25,14,0,0,26
7/3/2023,1,15,2,0,0,16
6/3/2023,1,2,0,0,0,3
5/3/2023,0,22,0,0,0,22
4/3/2023,0,8,6,0,0,8
3/3/2023,1,6,3,0,0,7
2/3/2023,0,5,0,0,0,5
1/3/2023,1,17,6,0,0,18
28/02/2023,0,10,4,0,0,10
27/02/2023,1,3,0,0,0,4
23/02/2023,0,2,0,0,0,2
22/02/2023,0,1,0,0,0,1
21/02/2023,0,5,0,0,0,5
20/02/2023,0,11,0,0,0,11
19/02/2023,0,2,0,0,0,2
18/02/2023,0,1,0,0,0,1
17/02/2023,0,1,0,0,0,1
16/02/2023,1,1,0,0,0,2
15/02/2023,0,6,0,0,0,6
14/02/2023,0,4,1,0,0,4
13/02/2023,2,14,7,0,0,16
10/2/2023,0,10,0,0,0,10
9/2/2023,0,9,2,0,0,9
8/2/2023,0,4,1,0,0,4
7/2/2023,0,2,0,0,0,2
6/2/2023,0,4,0,0,0,4
4/2/2023,0,1,0,0,0,1
3/2/2023,0,18,8,0,0,18
2/2/2023,0,12,9,0,0,12
31/01/2023,0,2,0,0,0,2
30/01/2023,0,9,0,0,0,9
27/01/2023,0,3,0,0,0,3
26/01/2023,0,2,0,0,0,2
20/01/2023,0,4,0,0,0,4
17/01/2023,0,1,0,0,0,1
13/01/2023,0,1,0,0,0,1
3/1/2023,0,2,0,0,0,2
